DomainCategory,CorpusName,TokenVolumeBucket,TokenVolumeScientificNotation,PrimaryAccessConstraint,RepresentativeCitations
Natural Language Web Text,Common Crawl / Llama-3 / RedPajama,15000000000000,1.5e13,Public Web Text,Meta (2024); Together AI (2023); Penedo et al. (2023)
General Software Code,The Stack v2 / StarCoder2 / DeepSeek-Coder,900000000000,9.0e11,Public Permissive Code Repositories,Lozhkov et al. (2024); Guo et al. (2024); Roziere et al. (2023)
Synthesizable Hardware RTL,OpenRTLSet / ChipNeMo / Public Verilog,1200000000,1.2e9,Limited Synthesizable Code,Wang et al. (2025); Liu et al. (2023); Lu et al. (2024)
Curated Architecture Data,QuArch curated architecture corpus,1000000000,1.0e9,Specialized Specs / ISAs / gem5 / EDA,Prakash et al. (2025)
Physical Signoff Traces,CircuitNet / OpenROAD PDK Layout Runs,15000000,1.5e7,Highly Scarce / Proprietary PDK Gated,Chai et al. (2022); Ajayi et al. (2019); Mirhoseini et al. (2021)
