Year,Category,Count,SharePercentage
1998,Software/Compilers,3,4.35
1998,Verification/Tools,3,4.35
1998,CPU Microarchitecture,52,75.36
1999,Domain Accelerators & AI,0,0.0
1999,Memory Hierarchy,29,27.62
1999,Multicore & Coherence,5,4.76
1999,Software/Compilers,1,0.95
1999,Verification/Tools,1,0.95
1999,CPU Microarchitecture,69,65.71
2000,Domain Accelerators & AI,0,0.0
2000,Memory Hierarchy,6,7.06
2000,Multicore & Coherence,0,0.0
2000,Software/Compilers,6,7.06
2000,Verification/Tools,5,5.88
2000,CPU Microarchitecture,68,80.0
2001,Domain Accelerators & AI,0,0.0
2001,Memory Hierarchy,2,3.57
2001,Multicore & Coherence,0,0.0
2001,Software/Compilers,5,8.93
2001,Verification/Tools,2,3.57
2001,CPU Microarchitecture,47,83.93
2002,Domain Accelerators & AI,1,0.17
2002,Memory Hierarchy,140,24.14
2002,Multicore & Coherence,25,4.31
2002,Software/Compilers,42,7.24
2002,Verification/Tools,8,1.38
2002,CPU Microarchitecture,364,62.76
2003,Domain Accelerators & AI,2,1.27
2003,Memory Hierarchy,37,23.42
2003,Multicore & Coherence,2,1.27
2003,Software/Compilers,9,5.7
2003,Verification/Tools,3,1.9
2003,CPU Microarchitecture,105,66.46
2004,Domain Accelerators & AI,1,0.4
2004,Memory Hierarchy,36,14.46
2004,Multicore & Coherence,5,2.01
2004,Software/Compilers,9,3.61
2004,Verification/Tools,16,6.43
2004,CPU Microarchitecture,182,73.09
2005,Domain Accelerators & AI,1,0.22
2005,Memory Hierarchy,108,23.58
2005,Multicore & Coherence,16,3.49
2005,Software/Compilers,23,5.02
2005,Verification/Tools,6,1.31
2005,CPU Microarchitecture,304,66.38
2006,Domain Accelerators & AI,3,1.28
2006,Memory Hierarchy,52,22.13
2006,Multicore & Coherence,12,5.11
2006,Software/Compilers,11,4.68
2006,Verification/Tools,1,0.43
2006,CPU Microarchitecture,156,66.38
2007,Domain Accelerators & AI,5,2.26
2007,Memory Hierarchy,53,23.98
2007,Multicore & Coherence,26,11.76
2007,Software/Compilers,8,3.62
2007,Verification/Tools,7,3.17
2007,CPU Microarchitecture,122,55.2
2008,Domain Accelerators & AI,9,3.49
2008,Memory Hierarchy,38,14.73
2008,Multicore & Coherence,24,9.3
2008,Software/Compilers,8,3.1
2008,Verification/Tools,10,3.88
2008,CPU Microarchitecture,169,65.5
2009,Domain Accelerators & AI,10,3.66
2009,Memory Hierarchy,47,17.22
2009,Multicore & Coherence,37,13.55
2009,Software/Compilers,2,0.73
2009,Verification/Tools,6,2.2
2009,CPU Microarchitecture,171,62.64
2010,Domain Accelerators & AI,5,2.7
2010,Memory Hierarchy,30,16.22
2010,Multicore & Coherence,20,10.81
2010,Software/Compilers,2,1.08
2010,Verification/Tools,7,3.78
2010,CPU Microarchitecture,121,65.41
