# Simulation wall-clock time versus simulated workload duration
# Derivation: arithmetic, not measurement. target_cycles_at_1ghz is the workload
#   duration times 1 GHz; each wall-time column is that cycle count divided by
#   the stated simulator rate. Verified 2026-09-03: all 4 rows recompute exactly.
# No external source is required or claimed. The simulator rates (1 kcycle/s,
#   100 kcycle/s, 10 MHz, 100 MHz) are stated order-of-magnitude anchors for
#   RTL simulation, emulation, and prototyping, not measurements of a named tool.
target_workload_duration,target_cycles_at_1ghz,wall_time_at_1kcycle_s,wall_time_at_100kcycle_s,wall_time_at_10mhz,wall_time_at_100mhz
1 ms,1000000,16.7 min,10 s,0.1 s,0.01 s
1 s,1000000000,11.6 days,2.8 h,100 s,10 s
1 min,60000000000,1.9 years,6.9 days,1.7 h,10 min
1 h,3600000000000,114 years,1.1 years,4.2 days,10 h
