timestamp,algorithm,seed,evaluation_step,array_height,array_width,ifmap_kb,filter_kb,ofmap_kb,dataflow,bandwidth,total_cycles,cycles_mha,cycles_conv,total_stalls,avg_utilization,pe_area,sram_area,total_area,fom_score,step_gain_pct,best_so_far_gain_pct
2026-08-22T16:46:02.509666+00:00,Random Search,0,32,64,16,32,16,16,is,4,13953,2870,11083,882,21.36,1024.0,51.2,1075.2,66.657,-72.0,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,33,12,8,16,8,64,is,24,31100,5705,25395,10724,44.6,96.0,70.4,166.4,193.235,-18.84,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,34,48,12,32,64,128,is,4,18326,5622,12704,186,22.34,576.0,179.2,755.2,72.255,-69.65,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,35,32,12,8,128,32,is,32,8765,2038,6727,0,34.21,384.0,134.4,518.4,220.081,-7.57,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,36,24,32,16,32,16,ws,16,3961,1414,2547,0,52.51,768.0,51.2,819.2,308.181,29.43,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,37,32,32,128,128,16,is,8,9027,2166,6861,0,30.57,1024.0,217.6,1241.6,89.223,-62.53,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,38,12,32,256,8,64,is,4,55349,8582,46767,30216,26.56,384.0,262.4,646.4,27.95,-88.26,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,39,4,32,16,16,64,ws,4,49195,12479,36716,19413,41.37,128.0,76.8,204.8,99.254,-58.31,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,40,48,12,16,8,8,ws,4,13902,4599,9303,3598,21.01,576.0,25.6,601.6,119.568,-49.78,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,41,4,8,8,256,32,os,12,33096,10154,22942,0,90.0,32.0,236.8,268.8,112.407,-52.79,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,42,4,64,128,64,8,os,4,17196,4126,13070,0,41.77,256.0,160.0,416.0,139.791,-41.29,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,43,24,8,64,8,8,ws,32,8598,3103,5495,0,60.49,192.0,64.0,256.0,454.321,90.81,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,44,4,4,8,32,128,os,32,61660,18174,43486,0,93.72,16.0,134.4,150.4,107.832,-54.71,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,45,64,16,32,64,128,os,8,16954,1590,15364,11410,25.12,1024.0,179.2,1203.2,49.022,-79.41,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,46,32,16,32,256,8,ws,24,5378,1476,3902,894,43.37,512.0,236.8,748.8,248.321,4.29,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,47,16,24,8,16,16,os,32,5128,1494,3634,0,54.29,384.0,32.0,416.0,468.769,96.88,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,48,12,24,32,128,32,ws,16,9147,2779,6368,400,46.23,288.0,153.6,441.6,247.567,3.98,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,49,16,16,16,256,64,ws,12,9609,3466,6143,58,66.38,256.0,268.8,524.8,198.302,-16.71,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,50,4,32,16,64,16,ws,24,11091,3775,7316,0,70.95,128.0,76.8,204.8,440.25,84.9,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,51,12,4,8,32,32,os,32,23196,7742,15454,0,82.04,48.0,57.6,105.6,408.247,71.46,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,52,48,16,128,8,16,is,32,11279,1774,9505,4848,17.25,768.0,121.6,889.6,99.663,-58.14,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,53,12,12,64,32,64,is,12,19066,5958,13108,0,50.05,144.0,128.0,272.0,192.829,-19.01,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,54,12,24,8,32,64,ws,8,17291,5626,11665,3426,37.42,288.0,83.2,371.2,155.802,-34.56,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,55,8,16,256,64,64,ws,24,12395,4543,7852,0,75.44,128.0,307.2,435.2,185.381,-22.14,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,56,48,8,64,64,256,is,16,12944,3550,9394,0,24.8,384.0,307.2,691.2,111.771,-53.06,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,57,24,32,64,128,8,ws,4,15923,4554,11369,3565,22.44,768.0,160.0,928.0,67.675,-71.58,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,58,4,64,64,64,8,os,8,13317,3102,10215,0,41.77,256.0,108.8,364.8,205.844,-13.55,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,59,4,48,128,8,16,os,24,54408,3988,50420,42382,22.22,192.0,121.6,313.6,58.609,-75.38,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,60,16,12,256,16,32,ws,12,11766,4292,7474,0,61.26,192.0,243.2,435.2,195.291,-17.98,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,61,32,24,64,256,64,os,8,7228,1794,5434,0,45.97,768.0,307.2,1075.2,128.675,-45.96,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,62,32,16,8,256,64,is,8,16637,2670,13967,5499,28.76,512.0,262.4,774.4,77.617,-67.4,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,63,8,8,8,256,32,ws,24,19051,6356,12695,0,80.59,64.0,236.8,300.8,174.504,-26.71,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,64,16,8,16,256,64,ws,12,13865,4970,8895,418,68.58,128.0,268.8,396.8,181.764,-23.66,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,65,48,12,32,8,128,os,8,29572,2742,26830,22390,17.93,576.0,134.4,710.4,47.601,-80.01,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,66,16,4,32,64,64,ws,32,20509,6910,13599,0,73.11,64.0,128.0,192.0,253.954,6.66,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,67,8,12,32,64,64,is,4,42829,13662,29167,0,59.2,96.0,128.0,224.0,104.235,-56.22,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,68,48,12,8,32,32,is,4,25758,5622,20136,10562,14.87,576.0,57.6,633.6,61.274,-74.27,101.53
