TierID,StageName,Description,SampleCount,BugCount,MedianDays,MeanDays,P25Days,P75Days,P90Days,MedianHours,MedianComments,MeanComments,BugMedianDays
Stage 1,Stage 1: Formulation & Spec,"Architectural RFCs, specs & interface definitions",112,2,39.69,113.19392857142859,14.765,131.775,286.8720000000002,952.62,2.0,3.7857142857142856,100.15
Stage 3 (Infra),Stage 3: Tooling & Build,"CI scripts, build rules, tool wrappers & env setup",214,12,22.5,133.0467289719626,2.945,142.445,471.0100000000004,539.985,3.0,4.154205607476635,11.375
Stage 3 (RTL),Stage 3: RTL & Generators,"IP cores, Chisel generators, RTL modules & microarch",566,76,32.95,115.35120141342756,8.024999999999999,111.275,377.82000000000005,790.87,3.0,4.574204946996466,16.805
Stage 4 (DV),Stage 4: Verification & Sim,"UVM testbenches, FPV assertions, CDC & cycle simulation",578,55,34.584999999999994,108.45946366782007,6.942500000000001,106.16499999999999,375.27100000000024,830.135,3.0,3.828719723183391,7.11
Stage 4/5 (Phys),Stage 4/5: Placement & Route,"Floorplanning, macro placement, CTS & detail routing",490,14,33.54,152.7371836734694,6.2975,165.20250000000001,567.0680000000001,805.005,2.0,4.493877551020408,7.205
Stage 5/6 (Signoff),Stage 5/6: Signoff & SiVal,"STA/DRC closure, FPGA/FireSim, SW toolchain & post-silicon",279,20,69.61,160.4063082437276,8.34,188.07999999999998,368.228,1670.74,1.0,2.813620071684588,101.545
