repo,tag,release_date,note,source_url,total_loc,csrc_total_loc,csrc_attn_loc,csrc_quant_loc,csrc_moe_loc,csrc_rocm_loc,csrc_cpu_loc,csrc_cuda_other_loc,vllm_python_engine_loc
vllm-project/vllm,v0.1.0,2023-06-20,Initial PagedAttention Release (CUDA only),https://github.com/vllm-project/vllm/releases/tag/v0.1.0,11484,2473,1852,0,0,0,0,621,9011
vllm-project/vllm,v0.2.0,2023-10-24,AWQ / SqueezeLLM Quantization Kernels,https://github.com/vllm-project/vllm/releases/tag/v0.2.0,20199,3296,1964,593,0,0,0,739,16903
vllm-project/vllm,v0.3.0,2024-02-18,Marlin / GPTQ / Early MoE Dispatch,https://github.com/vllm-project/vllm/releases/tag/v0.3.0,41765,9146,2469,2643,108,0,0,3926,32619
vllm-project/vllm,v0.4.0,2024-04-12,FP8 / Speculative Decoding Kernels,https://github.com/vllm-project/vllm/releases/tag/v0.4.0,66301,12102,2559,5068,640,0,0,3835,54199
vllm-project/vllm,v0.6.0,2024-08-25,Multi-Backend (ROCm / CPU) & DeepSeek MoE,https://github.com/vllm-project/vllm/releases/tag/v0.6.0,207563,39032,3550,26871,671,0,1621,6319,168531
vllm-project/vllm,v0.15.0,2025-06-01,FlashAttention-3 / FP4 Quant / Heterogeneous,https://github.com/vllm-project/vllm/releases/tag/v0.15.0,807509,88017,13785,39447,6734,2446,10410,15195,719492
vllm-project/vllm,v0.20.0,2025-12-10,Modular V1 Engine & Dynamic Tensor Cores,https://github.com/vllm-project/vllm/releases/tag/v0.20.0,1051281,100129,15172,40588,8852,2415,13120,19982,951152
vllm-project/vllm,v0.27.0,2026-07-20,Blackwell Native / Multi-Vendor Production,https://github.com/vllm-project/vllm/releases/tag/v0.27.0,1460235,120462,16341,35168,12391,6491,21641,28430,1339773
