timestamp_utc,dimension,category,entity,metric_key,metric_name,raw_value,unit,query_string,source_url,source_citation,notes
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Software,TypeScript,github_stars_ge_10_repositories,Repositories with Stars >= 10,182762,repositories,"language:""TypeScript"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22TypeScript%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Software,TypeScript,github_active_recent_repositories,Repositories Updated in 2025-2026,11126126,repositories,"language:""TypeScript"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22TypeScript%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Software,Go,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,54.6,GB,The Stack v2 language=Go,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",9.3M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Software,Go,github_total_repositories,Total Public Repositories on GitHub,2472950,repositories,"language:""Go""",https://api.github.com/search/repositories?q=language%3A%22Go%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Software,Go,github_stars_ge_10_repositories,Repositories with Stars >= 10,95400,repositories,"language:""Go"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22Go%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Software,Go,github_active_recent_repositories,Repositories Updated in 2025-2026,935781,repositories,"language:""Go"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22Go%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Software,Rust,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,15.6,GB,The Stack v2 language=Rust,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",2.22M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Software,Rust,github_total_repositories,Total Public Repositories on GitHub,1308575,repositories,"language:""Rust""",https://api.github.com/search/repositories?q=language%3A%22Rust%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Software,Rust,github_stars_ge_10_repositories,Repositories with Stars >= 10,65128,repositories,"language:""Rust"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22Rust%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Software,Rust,github_active_recent_repositories,Repositories Updated in 2025-2026,665139,repositories,"language:""Rust"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22Rust%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Hardware HDL,VHDL,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,2.1,GB,The Stack v2 language=VHDL,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",0.115M deduplicated source files
