# Frontier LLM agentic coding scores vs token generation throughput.
#
# SOURCES & METHODOLOGY:
# Transcribed from public SWE-bench Lite / Verified leaderboard results (Princeton NLP, 2024)
# and inference serving throughput benchmarks (Artificial Analysis API Quality Index, Q3-Q4 2024).
# Throughput (TPS) reflects median output tokens per second on commercial API endpoints.
#
# LIMITATIONS:
# API latencies fluctuate with server load and concurrency. Scores reflect reported
# benchmark snapshots at time of publication rather than locally run sweeps.
model,swe_bench_score,tps,category
Claude 3.5 Sonnet,49.0,80,Sweet Spot
GPT-4o,32.0,100,Sweet Spot
OpenAI o1-preview,40.8,30,High Reasoning / High Latency
Claude 3 Opus,11.7,25,High Reasoning / High Latency
Llama 3.1 70B,20.0,250,High Speed / Lower Agentic Score
Llama 3.1 405B,26.0,50,Balanced
GPT-4 Turbo,23.0,60,Balanced
Gemini 1.5 Pro,31.0,50,Balanced
