repo,tag,release_date,note,source_url,total_loc,middle_end_mlir_loc,nv_target_loc,amd_target_loc,intel_target_loc,python_frontend_loc,other_loc
triton-lang/triton,v1.0,2021-04-30,Initial Release (Triton 1.0 IR / CUDA PTX),https://github.com/triton-lang/triton/releases/tag/v1.0,75470,3019,20784,0,783,704,50180
triton-lang/triton,v2.0.0,2023-03-15,Triton-MLIR Dialect Rewrite (TritonGPU),https://github.com/triton-lang/triton/releases/tag/v2.0.0,59400,11083,28262,0,0,5182,14873
triton-lang/triton,v2.1.0,2023-09-27,Multi-Target MLIR Lowering & TMA,https://github.com/triton-lang/triton/releases/tag/v2.1.0,74506,15558,29963,120,33,6699,22133
triton-lang/triton,v3.0.0,2024-05-15,AMD ROCm Backend Integration,https://github.com/triton-lang/triton/releases/tag/v3.0.0,173428,30859,21108,72018,33,9553,39857
triton-lang/triton,v3.2.0,2024-12-05,Blackwell / Hopper WGMMA Optimization,https://github.com/triton-lang/triton/releases/tag/v3.2.0,195216,41939,23317,76240,0,9604,44116
triton-lang/triton,v3.5.0,2025-07-10,Unified Dialect & Block Level IR,https://github.com/triton-lang/triton/releases/tag/v3.5.0,323124,82938,28529,97868,0,11152,102637
triton-lang/triton,v3.7.0,2026-08-01,Target-Agnostic IR & Cross-Arch Pipelines,https://github.com/triton-lang/triton/releases/tag/v3.7.0,371054,100133,31408,99199,0,11528,128786
