dataset_name,corpus_category,repository_url,repository_commit,selected_files,oversize_files,parsed_modules,extraction_timestamp
VerilogEval,AI benchmark reference RTL,https://github.com/NVlabs/verilog-eval,c498220d0a52248f8e3fdffe279075215bde2da6,156,0,156,2026-08-25T21:44:32.712049+00:00
RTLLM,AI benchmark reference RTL,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,50,0,61,2026-08-25T21:44:32.712049+00:00
OpenTitan,Production-oriented open RTL,https://github.com/lowRISC/opentitan,e3f3234aa3772760cdf40e79a8ae4471b6b02213,1137,0,936,2026-08-25T21:44:32.712049+00:00
CV32E40P,Production-oriented open RTL,https://github.com/openhwgroup/cv32e40p,6033d2b1be3295ec774d17ac4cf226faacfdeb08,126,0,123,2026-08-25T21:44:32.712049+00:00
VeeR EL2,Production-oriented open RTL,https://github.com/chipsalliance/Cores-SweRV,d04b1c7ae675a63dc4307cacfd10547ec937b928,44,0,112,2026-08-25T21:44:32.712049+00:00
BlackParrot,Production-oriented open RTL,https://github.com/black-parrot/black-parrot,f91010f654a5dfd00f83dbe25dbda482218d540b,125,0,125,2026-08-25T21:44:32.712049+00:00
