stage,unit,approximate_count,derived_share_of_start,evidence_type,source,source_location,source_url,access_date,scope_note
Permissively licensed public C/C++ repositories,repositories,103000,1.0,source-transcribed,Wang et al. OpenRTLSet,Section III-A1,https://doi.org/10.1109/ICLAD65226.2025.00038,2026-07-30,"Starting population reported by this collection pipeline, not all public C/C++ repositories"
Repositories retained after the authors' synthesizability screen,repositories,12000,0.1165,source-transcribed-count-derived-share,Wang et al. OpenRTLSet,Section III-A2,https://doi.org/10.1109/ICLAD65226.2025.00038,2026-07-30,"Pipeline-specific regular-expression screen; approximate count"
Repositories that successfully generated Verilog through Vitis HLS,repositories,1000,0.0097,source-transcribed-count-derived-share,Wang et al. OpenRTLSet,Section III-A2,https://doi.org/10.1109/ICLAD65226.2025.00038,2026-07-30,"Pipeline-specific conversion result; approximate count"
Verilog modules produced from successful C/C++ repositories,modules,24000,,source-transcribed,Wang et al. OpenRTLSet,Section III-A2 and Table I,https://doi.org/10.1109/ICLAD65226.2025.00038,2026-07-30,"Annotation only because the unit changes from repositories to modules"
